id,seeker_post,response_post
2524,Mm-hmm.,"Okay. Even though, uh, even though this medicine isn't the-the medicine that's in this is in the same broad family as the steroids you're worried about, and those are called anabolic steroids."
2525,"Well, I-I guess I didn't realize that they weren't the same thing as the anabolic steroids.",Which build people up and have masculinizing effects.
2526,"Which are the ones that cause all the problems and everything. So, um, if-if you can assure me that it's not going to have those same side effects and health problems-","If-if I can draw an analogy-- Again, even though this medicine is in the same family as those big broad-broad family. If I could draw an analogy, a grape and a watermelon are in the same family of fruits, you know, and obviously, grape is much smaller than a watermelon. And if you eat one grape, you'd be fine. If you ate an entire watermelon, it can make you very sick. If we look at the grape as the medicine your daughter's taking, again, it's in the same broad family, the amount of drug that your daughter is getting is very small. Uh, and not only that it's not an anabolic steroid, even though it's in the same big family. And what this drug does is actually reduces the inflammation in your daughter's lungs. And-and it doesn't even get absorbed into the body. It only goes to her lungs. And as I said, I wouldn't want your daughter taking a medication that could have the impact of those anabolic steroids. This is really safe for your daughter to use. So what-what are your thoughts about considering having her using this?"
2527,Yeah.,Mm-hmm.
2528,Okay.,"Yeah, def-definitely would not. I mean, probably you saw the name corticosteroid and thought, ""uh-oh."""
2529,Yeah.,"You know. And so-- yeah, and that- and that does concern people. But I do want to reassure you that this is medication that only goes to her lungs, and won't get in her body and they're not the same kind of drugs as the ones you're worried about."
2530,"Oh, okay.",Do you mind if I talk to you a little bit about what your daughter's lungs are like when she's having these inflammations and needing to go to the emergency room?
2531,Mm-hmm.,"Okay. When-when somebody has asthma, their lungs are like hypersensitive. If I could use an analogy, again, if-if you had the skin burnt off your arm, if somebody brushed up against you before he had the skin burned off your arm, it wouldn't bother you at all. But when the skin's burned off your arm, you literally react to it. Her lungs are exquisitely sensitive. Uh, and like the skin on your arm would be if the skin got burned off. And what this drug can do? This chronic inhaler is reduce the inflammation in her lungs so that her lungs don't remain exquisitely sensitive. Because otherwise, everything in the air like dust, pollen, uh, reacts with her, uh, in ways that it would not normally affect us."
2532,Yeah.,And so this chronic inhaler can really prevent that from happening. Okay? Which is why it's so important to use it.
2533,"Oh, even when it's just on my clothes?","The other thing I was going to tell you is that, unfortunately, uh, even though you are smoking outside and keeping the smoke away from her, the smoke on your clothes, because her lungs are so sensitive, can also affect her lungs and cause her to have a reaction. Now, something I'd like you to think about is that, if you use the chronic inhaler every day, she may not be sensitive to the smoke on your clothes, but she still maybe because her lungs are just very different than ours. Um, honestly, I'd love to see you quit smoking for you too because, you know, as you know, it's not real good for you."
2534,She's that sensitive. If I realized that—,"Uh, and it would certainly help her. Um, but what I'd like you to do is to, kind of, keep an eye on what happens when she uses the chronic inhaler. And if she's still flaring up when you're around her, if there are any, if there is smoke on your clothes because it-it can flare her up."
2535,"Right. Um, so would it help, um-- You know, the thought of quitting smoking is a pretty daunting aspect.",Yeah. Yeah.
2536,"I mean, I know people who've tried to quit and it's-it's just it's- it's really difficult, you know. So I know, it'd be better—","It-it-it-- Yeah. It may not- it may not when she uses the chronic inhaler, uh, but you'll need to keep an eye on that. Obviously, it would be- what would be best if it didn't get on your clothes, or you quit smoking."
2537,Yeah.,Mm-hmm.
2538,"Yeah, it is. Um.","Very hard. It's very relaxing, and-"
2539,"Well, I was thinking, um, if since it, you know, it affects her that it's on my clothes, if I only smoked while she was at school, and then changed my clothes before she came home. Would that help?",And-and it's hard to replace it with something.
2540,"Oh, absolutely. I never. Never.","So, uh, any thoughts on what you may be able to do to-to help at this point, if you don't choose to quit right away?"
2541,Okay.,"Oh, that-that sounds like it would be great if you were able to do that. Obviously, don't smoke in the house, you know- you know."
2542,Yeah. [chuckles],"Um, so yeah. If you're willing to do that, that certainly would help."
2543,It's really difficult.,"Uh, again, if you get to the point sometime down the road where you're willing to quit for both you and her, uh, we'd be glad to help you do that. Because you're right it is- it's not an easy thing to do."
2544,Mm-hmm.,Okay.
2545,"Oh, really?","So it sounds like right now where we are, is you're willing to-to have her use the chronic inhaler-"
2546,"Oh, that's great-","-to try to get the inflammation down, so she doesn't need to go to the emergency room and do whatever you can at this point to keep the smoke off your clothes. And I think you're gonna see big changes in terms of, uh, her not needing to go to the emergency room, and you probably won't need to use the rescue inhaler hardly at all."
2547,-because that's always scary when she has to use that one.,"Yeah, because you'll get that inflammation down."
2548,Okay.,Okay.
2549,Okay.,Yeah. So we'll go ahead and get both of those prescriptions ready.
2550,That sounds good. Thank you.,"Use the chronic inhaler every day, keep the rescue inhaler around if she needs it. Uh, and let's see how that works."
2551,"Something clicked, I'd had a bunch to drink and, uh, and I knew I'd messed up. I totally messed up.",Okay?
2552,"Because I was- because I was right there, man. I was right there in the same place when I'd come home and I'd pop a couple of those pills, it was the same deal, like and I wanted to stay there. I wanted to stay exactly right there. And I just felt like I'd ruined everything. You know, Erin's using the phone now, and he called me the next day and it was, uh, great, but I kinda felt ashamed of myself, and I don't want to feel that way again.",All right. Good.
